[2025-11-24 12:42:45,993] [INFO] [DataIngestionService] Starting shopify data ingestion for tenanttest_tenant_001
[2025-11-24 12:43:21,055] [INFO] [DataIngestionService] No orders to store for shopify
[2025-11-24 12:43:21,055] [INFO] [DataIngestionService] No products to store for shopify
[2025-11-24 12:43:21,055] [INFO] [DataIngestionService] No customers to store for shopify
[2025-11-24 12:43:21,055] [INFO] [DataIngestionService] No inventory to store for shopify
[2025-11-24 12:43:21,055] [INFO] [DataIngestionService] Successfully  ingested Shopify data  for tenanttest_tenant_001
[2025-11-24 12:47:10,160] [INFO] [DataIngestionService] Starting shopify data ingestion for tenanttest_tenant_001
[2025-11-24 12:47:45,560] [INFO] [DataIngestionService] No orders to store for shopify
[2025-11-24 12:47:45,560] [INFO] [DataIngestionService] No products to store for shopify
[2025-11-24 12:47:45,561] [INFO] [DataIngestionService] No customers to store for shopify
[2025-11-24 12:47:45,561] [INFO] [DataIngestionService] No inventory to store for shopify
[2025-11-24 12:47:45,561] [INFO] [DataIngestionService] Successfully  ingested Shopify data  for tenanttest_tenant_001
[2025-11-24 12:51:26,676] [INFO] [DataIngestionService] Starting shopify data ingestion for tenanttest_tenant_001
[2025-11-24 12:51:40,913] [INFO] [DataIngestionService] No inventory to store for shopify
[2025-11-24 12:51:40,934] [INFO] [DataIngestionService] Successfully  ingested Shopify data  for tenanttest_tenant_001
[2025-11-24 12:53:14,439] [INFO] [DataIngestionService] Starting shopify data ingestion for tenanttest_tenant_001
[2025-11-24 12:53:28,409] [INFO] [DataIngestionService] No inventory to store for shopify
[2025-11-24 12:53:28,419] [INFO] [DataIngestionService] Successfully  ingested Shopify data  for tenanttest_tenant_001
[2025-11-24 12:54:53,048] [INFO] [DataIngestionService] No invoices to store for quickbooks
[2025-11-24 12:54:53,048] [INFO] [DataIngestionService] No customers to store for quickbooks
[2025-11-24 12:54:53,048] [INFO] [DataIngestionService] No payments to store for quickbooks
[2025-11-24 12:54:53,048] [INFO] [DataIngestionService] No items to store for quickbooks
[2025-11-24 12:54:53,048] [INFO] [DataIngestionService] No balance_sheet to store for quickbooks
[2025-11-24 12:54:53,048] [INFO] [DataIngestionService] No profit_and_loss to store for quickbooks
[2025-11-24 13:21:11,413] [INFO] [DataIngestionService] Starting shopify data ingestion for tenanttest_tenant_001
[2025-11-24 13:21:25,306] [INFO] [DataIngestionService] No inventory to store for shopify
[2025-11-24 13:21:25,331] [INFO] [DataIngestionService] Successfully  ingested Shopify data  for tenanttest_tenant_001
[2025-11-24 13:23:00,113] [INFO] [DataIngestionService] No invoices to store for quickbooks
[2025-11-24 13:23:00,113] [INFO] [DataIngestionService] No customers to store for quickbooks
[2025-11-24 13:23:00,114] [INFO] [DataIngestionService] No payments to store for quickbooks
[2025-11-24 13:23:00,114] [INFO] [DataIngestionService] No items to store for quickbooks
[2025-11-24 13:23:00,114] [INFO] [DataIngestionService] No balance_sheet to store for quickbooks
[2025-11-24 13:23:00,114] [INFO] [DataIngestionService] No profit_and_loss to store for quickbooks
